RedFighter,BlueFighter,Date,Location,Winner,WeightClass,Finish,FinishDetails,FinishRound,WinningFIghter,LosingFighter
Derrick Lewis,Junior Dos Santos,3/9/19,"Wichita, Kansas, USA",Blue,Heavyweight,KO/TKO,Punches,2,Junior Dos Santos,Derrick Lewis
Elizeu Zaleski dos Santos,Curtis Millender,3/9/19,"Wichita, Kansas, USA",Red,Welterweight,SUB,Rear Naked Choke,1,Elizeu Zaleski dos Santos,Curtis Millender
Tim Means,Niko Price,3/9/19,"Wichita, Kansas, USA",Blue,Welterweight,KO/TKO,Punch,1,Niko Price,Tim Means
Blagoy Ivanov,Ben Rothwell,3/9/19,"Wichita, Kansas, USA",Red,Heavyweight,U-DEC,None,3,Blagoy Ivanov,Ben Rothwell
Beneil Dariush,Drew Dober,3/9/19,"Wichita, Kansas, USA",Red,Lightweight,SUB,Armbar,2,Beneil Dariush,Drew Dober
Tim Boetsch,Omari Akhmedov,3/9/19,"Wichita, Kansas, USA",Blue,Middleweight,U-DEC,None,3,Omari Akhmedov,Tim Boetsch
Anthony Rocco Martin,Sergio Moraes,3/9/19,"Wichita, Kansas, USA",Red,Welterweight,U-DEC,None,3,Anthony Rocco Martin,Sergio Moraes
Marion Reneau,Yana Kunitskaya,3/9/19,"Wichita, Kansas, USA",Blue,Women's Bantamweight,U-DEC,None,3,Yana Kunitskaya,Marion Reneau
Grant Dawson,Julian Erosa,3/9/19,"Wichita, Kansas, USA",Red,Featherweight,U-DEC,None,3,Grant Dawson,Julian Erosa
Maurice Greene,Jeff Hughes,3/9/19,"Wichita, Kansas, USA",Red,Heavyweight,S-DEC,None,3,Maurice Greene,Jeff Hughes
Louis Smolka,Matt Schnell,3/9/19,"Wichita, Kansas, USA",Blue,Bantamweight,SUB,Triangle Choke,1,Matt Schnell,Louis Smolka
Alex Morono,Zak Ottow,3/9/19,"Wichita, Kansas, USA",Red,Welterweight,KO/TKO,Elbows,1,Alex Morono,Zak Ottow
Alex White,Dan Moret,3/9/19,"Wichita, Kansas, USA",Red,Lightweight,U-DEC,None,3,Alex White,Dan Moret
Jon Jones,Anthony Smith,3/2/19,"Las Vegas, Nevada, USA",Red,Light Heavyweight,U-DEC,None,5,Jon Jones,Anthony Smith
Tyron Woodley,Kamaru Usman,3/2/19,"Las Vegas, Nevada, USA",Blue,Welterweight,U-DEC,None,5,Kamaru Usman,Tyron Woodley
Robbie Lawler,Ben Askren,3/2/19,"Las Vegas, Nevada, USA",Blue,Welterweight,SUB,Other - Choke,1,Ben Askren,Robbie Lawler
Tecia Torres,Weili Zhang,3/2/19,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,U-DEC,None,3,Weili Zhang,Tecia Torres
Cody Garbrandt,Pedro Munhoz,3/2/19,"Las Vegas, Nevada, USA",Blue,Bantamweight,KO/TKO,Punch,1,Pedro Munhoz,Cody Garbrandt
Jeremy Stephens,Zabit Magomedsharipov,3/2/19,"Las Vegas, Nevada, USA",Blue,Featherweight,U-DEC,None,3,Zabit Magomedsharipov,Jeremy Stephens
Misha Cirkunov,Johnny Walker,3/2/19,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,KO/TKO,Flying Knee,1,Johnny Walker,Misha Cirkunov
Cody Stamann,Alejandro Perez,3/2/19,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Cody Stamann,Alejandro Perez
Diego Sanchez,Mickey Gall,3/2/19,"Las Vegas, Nevada, USA",Red,Welterweight,KO/TKO,Punches,2,Diego Sanchez,Mickey Gall
Edmen Shahbazyan,Charles Byrd,3/2/19,"Las Vegas, Nevada, USA",Red,Middleweight,KO/TKO,Elbows,1,Edmen Shahbazyan,Charles Byrd
Gina Mazany,Macy Chiasson,3/2/19,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,KO/TKO,Punch,1,Macy Chiasson,Gina Mazany
Polyana Viana,Hannah Cifers,3/2/19,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,S-DEC,None,3,Hannah Cifers,Polyana Viana
Jan Blachowicz,Thiago Santos,2/23/19,"Prague, Czech Republic",Blue,Light Heavyweight,KO/TKO,Punch,3,Thiago Santos,Jan Blachowicz
Stefan Struve,Marcos Rogerio de Lima,2/23/19,"Prague, Czech Republic",Red,Heavyweight,SUB,Arm Triangle,2,Stefan Struve,Marcos Rogerio de Lima
Gian Villante,Michal Oleksiejczuk,2/23/19,"Prague, Czech Republic",Blue,Light Heavyweight,KO/TKO,Punch,1,Michal Oleksiejczuk,Gian Villante
Liz Carmouche,Lucie Pudilova,2/23/19,"Prague, Czech Republic",Red,Women's Flyweight,U-DEC,None,3,Liz Carmouche,Lucie Pudilova
John Dodson,Petr Yan,2/23/19,"Prague, Czech Republic",Blue,Bantamweight,U-DEC,None,3,Petr Yan,John Dodson
Magomed Ankalaev,Klidson Abreu,2/23/19,"Prague, Czech Republic",Red,Light Heavyweight,U-DEC,None,3,Magomed Ankalaev,Klidson Abreu
Dwight Grant,Carlo Pedersoli,2/23/19,"Prague, Czech Republic",Red,Welterweight,,None,,Dwight Grant,Carlo Pedersoli
Daniel Teymur,Chris Fishgold,2/23/19,"Prague, Czech Republic",Blue,Featherweight,SUB,Rear Naked Choke,2,Chris Fishgold,Daniel Teymur
Veronica Macedo,Gillian Robertson,2/23/19,"Prague, Czech Republic",Blue,Women's Flyweight,SUB,Rear Naked Choke,2,Gillian Robertson,Veronica Macedo
Damir Hadzovic,Polo Reyes,2/23/19,"Prague, Czech Republic",Red,Lightweight,,None,,Damir Hadzovic,Polo Reyes
Michel Prazeres,Ismail Naurdiev,2/23/19,"Prague, Czech Republic",Blue,Welterweight,U-DEC,None,3,Ismail Naurdiev,Michel Prazeres
Rustam Khabilov,Diego Ferreira,2/23/19,"Prague, Czech Republic",Blue,Lightweight,U-DEC,None,3,Diego Ferreira,Rustam Khabilov
Damir Ismagulov,Joel Alvarez,2/23/19,"Prague, Czech Republic",Red,Lightweight,U-DEC,None,3,Damir Ismagulov,Joel Alvarez
Francis Ngannou,Cain Velasquez,2/17/19,"Phoenix, Arizona, USA",Red,Heavyweight,KO/TKO,Punches,1,Francis Ngannou,Cain Velasquez
James Vick,Paul Felder,2/17/19,"Phoenix, Arizona, USA",Blue,Lightweight,U-DEC,None,3,Paul Felder,James Vick
Cortney Casey,Cynthia Calvillo,2/17/19,"Phoenix, Arizona, USA",Blue,Women's Strawweight,U-DEC,None,3,Cynthia Calvillo,Cortney Casey
Alex Caceres,Kron Gracie,2/17/19,"Phoenix, Arizona, USA",Blue,Featherweight,SUB,Rear Naked Choke,1,Kron Gracie,Alex Caceres
Vicente Luque,Bryan Barberena,2/17/19,"Phoenix, Arizona, USA",Red,Welterweight,KO/TKO,Knee,3,Vicente Luque,Bryan Barberena
Andre Fili,Myles Jury,2/17/19,"Phoenix, Arizona, USA",Red,Featherweight,U-DEC,None,3,Andre Fili,Myles Jury
Jimmie Rivera,Aljamain Sterling,2/17/19,"Phoenix, Arizona, USA",Blue,Bantamweight,U-DEC,None,3,Aljamain Sterling,Jimmie Rivera
Benito Lopez,Manny Bermudez,2/17/19,"Phoenix, Arizona, USA",Blue,Bantamweight,SUB,Guillotine Choke,1,Manny Bermudez,Benito Lopez
Ashlee Evans-Smith,Andrea Lee,2/17/19,"Phoenix, Arizona, USA",Blue,Women's Flyweight,U-DEC,None,3,Andrea Lee,Ashlee Evans-Smith
Scott Holtzman,Nik Lentz,2/17/19,"Phoenix, Arizona, USA",Blue,Lightweight,U-DEC,None,3,Nik Lentz,Scott Holtzman
Renan Barao,Luke Sanders,2/17/19,"Phoenix, Arizona, USA",Blue,Bantamweight,KO/TKO,Punch,2,Luke Sanders,Renan Barao
Alexandra Albu,Emily Whitmire,2/17/19,"Phoenix, Arizona, USA",Blue,Women's Strawweight,,None,,Emily Whitmire,Alexandra Albu
Israel Adesanya,Anderson Silva,2/9/19,"Melbourne, Victoria, Australia",Red,Middleweight,U-DEC,None,3,Israel Adesanya,Anderson Silva
Lando Vannata,Marcos Mariano,2/9/19,"Melbourne, Victoria, Australia",Red,Lightweight,SUB,Kimura,1,Lando Vannata,Marcos Mariano
Rani Yahya,Ricky Simon,2/9/19,"Melbourne, Victoria, Australia",Blue,Bantamweight,U-DEC,None,3,Ricky Simon,Rani Yahya
Montana De La Rosa,Nadia Kassem,2/9/19,"Melbourne, Victoria, Australia",Red,Women's Flyweight,SUB,Armbar,2,Montana De La Rosa,Nadia Kassem
Jimmy Crute,Sam Alvey,2/9/19,"Melbourne, Victoria, Australia",Red,Light Heavyweight,KO/TKO,Punches,1,Jimmy Crute,Sam Alvey
Devonte Smith,Dong Hyun Ma,2/9/19,"Melbourne, Victoria, Australia",Red,Lightweight,KO/TKO,Punch,1,Devonte Smith,Dong Hyun Ma
Shane Young,Austin Arnett,2/9/19,"Melbourne, Victoria, Australia",Red,Featherweight,U-DEC,None,3,Shane Young,Austin Arnett
Kai Kara-France,Raulian Paiva,2/9/19,"Melbourne, Victoria, Australia",Red,Flyweight,S-DEC,None,3,Kai Kara-France,Raulian Paiva
Teruto Ishihara,Kyung Ho Kang,2/9/19,"Melbourne, Victoria, Australia",Blue,Bantamweight,SUB,Rear Naked Choke,1,Kyung Ho Kang,Teruto Ishihara
Callan Potter,Jalin Turner,2/9/19,"Melbourne, Victoria, Australia",Blue,Lightweight,KO/TKO,Kick,1,Jalin Turner,Callan Potter
Wuliji Buren,Jonathan Martinez,2/9/19,"Melbourne, Victoria, Australia",Blue,Bantamweight,U-DEC,None,3,Jonathan Martinez,Wuliji Buren
Raphael Assuncao,Marlon Moraes,2/2/19,"Fortaleza, Ceara, Brazil",Blue,Bantamweight,SUB,Guillotine Choke,1,Marlon Moraes,Raphael Assuncao
Jose Aldo,Renato Moicano,2/2/19,"Fortaleza, Ceara, Brazil",Red,Featherweight,KO/TKO,Punches,2,Jose Aldo,Renato Moicano
Demian Maia,Lyman Good,2/2/19,"Fortaleza, Ceara, Brazil",Red,Welterweight,SUB,Rear Naked Choke,1,Demian Maia,Lyman Good
Charles Oliveira,David Teymur,2/2/19,"Fortaleza, Ceara, Brazil",Red,Lightweight,SUB,Anaconda Choke,2,Charles Oliveira,David Teymur
Johnny Walker,Justin Ledet,2/2/19,"Fortaleza, Ceara, Brazil",Red,Light Heavyweight,KO/TKO,Spinning Back Fist,1,Johnny Walker,Justin Ledet
Livinha Souza,Sarah Frota,2/2/19,"Fortaleza, Ceara, Brazil",Red,Women's Strawweight,S-DEC,None,3,Livinha Souza,Sarah Frota
Markus Perez,Anthony Hernandez,2/2/19,"Fortaleza, Ceara, Brazil",Red,Middleweight,SUB,Anaconda Choke,2,Markus Perez,Anthony Hernandez
Mara Romero Borella,Taila Santos,2/2/19,"Fortaleza, Ceara, Brazil",Red,Women's Flyweight,S-DEC,None,3,Mara Romero Borella,Taila Santos
Thiago Alves,Max Griffin,2/2/19,"Fortaleza, Ceara, Brazil",Red,Welterweight,S-DEC,None,3,Thiago Alves,Max Griffin
Junior Albini,Jairzinho Rozenstruik,2/2/19,"Fortaleza, Ceara, Brazil",Blue,Heavyweight,KO/TKO,Kick,2,Jairzinho Rozenstruik,Junior Albini
Geraldo de Freitas,Felipe Colares,2/2/19,"Fortaleza, Ceara, Brazil",Red,Featherweight,U-DEC,None,3,Geraldo de Freitas,Felipe Colares
Ricardo Ramos,Said Nurmagomedov,2/2/19,"Fortaleza, Ceara, Brazil",Blue,Bantamweight,KO/TKO,Spinning Back Kick,1,Said Nurmagomedov,Ricardo Ramos
Magomed Bibulatov,Rogerio Bontorin,2/2/19,"Fortaleza, Ceara, Brazil",Blue,Flyweight,S-DEC,None,3,Rogerio Bontorin,Magomed Bibulatov
Henry Cejudo,TJ Dillashaw,1/19/19,"Brooklyn, New York, USA",Red,Flyweight,KO/TKO,Punches,1,Henry Cejudo,TJ Dillashaw
Greg Hardy,Allen Crowder,1/19/19,"Brooklyn, New York, USA",Blue,Heavyweight,DQ,None,2,Allen Crowder,Greg Hardy
Gregor Gillespie,Yancy Medeiros,1/19/19,"Brooklyn, New York, USA",Red,Lightweight,KO/TKO,Punches,2,Gregor Gillespie,Yancy Medeiros
Joseph Benavidez,Dustin Ortiz,1/19/19,"Brooklyn, New York, USA",Red,Flyweight,U-DEC,None,3,Joseph Benavidez,Dustin Ortiz
Paige VanZant,Rachael Ostovich,1/19/19,"Brooklyn, New York, USA",Red,Women's Flyweight,SUB,Armbar,2,Paige VanZant,Rachael Ostovich
Glover Teixeira,Karl Roberson,1/19/19,"Brooklyn, New York, USA",Red,Light Heavyweight,SUB,Arm Triangle,1,Glover Teixeira,Karl Roberson
Alexander Hernandez,Donald Cerrone,1/19/19,"Brooklyn, New York, USA",Blue,Lightweight,KO/TKO,Kick,2,Donald Cerrone,Alexander Hernandez
Joanne Calderwood,Ariane Lipski,1/19/19,"Brooklyn, New York, USA",Red,Women's Flyweight,U-DEC,None,3,Joanne Calderwood,Ariane Lipski
Alonzo Menifield,Vinicius Moreira,1/19/19,"Brooklyn, New York, USA",Red,Light Heavyweight,KO/TKO,Punch,1,Alonzo Menifield,Vinicius Moreira
Cory Sandhagen,Mario Bautista,1/19/19,"Brooklyn, New York, USA",Red,Bantamweight,SUB,Armbar,1,Cory Sandhagen,Mario Bautista
Dennis Bermudez,Te Edwards,1/19/19,"Brooklyn, New York, USA",Red,Lightweight,U-DEC,None,3,Dennis Bermudez,Te Edwards
Belal Muhammad,Geoff Neal,1/19/19,"Brooklyn, New York, USA",Blue,Welterweight,U-DEC,None,3,Geoff Neal,Belal Muhammad
Kyle Stewart,Chance Rencountre,1/19/19,"Brooklyn, New York, USA",Blue,Welterweight,SUB,Rear Naked Choke,1,Chance Rencountre,Kyle Stewart
Jon Jones,Alexander Gustafsson,12/29/18,"Los Angeles, California, USA",Red,Light Heavyweight,KO/TKO,Punches,3,Jon Jones,Alexander Gustafsson
Cris Cyborg,Amanda Nunes,12/29/18,"Los Angeles, California, USA",Blue,Women's Featherweight,,None,,Amanda Nunes,Cris Cyborg
Carlos Condit,Michael Chiesa,12/29/18,"Los Angeles, California, USA",Blue,Welterweight,SUB,Kimura,2,Michael Chiesa,Carlos Condit
Ilir Latifi,Corey Anderson,12/29/18,"Los Angeles, California, USA",Blue,Light Heavyweight,U-DEC,None,3,Corey Anderson,Ilir Latifi
Chad Mendes,Alexander Volkanovski,12/29/18,"Los Angeles, California, USA",Blue,Featherweight,KO/TKO,Punches,2,Alexander Volkanovski,Chad Mendes
Cat Zingano,Megan Anderson,12/29/18,"Los Angeles, California, USA",Blue,Women's Featherweight,KO/TKO,Kick,1,Megan Anderson,Cat Zingano
Douglas Silva de Andrade,Petr Yan,12/29/18,"Los Angeles, California, USA",Blue,Bantamweight,KO/TKO,None,2,Petr Yan,Douglas Silva de Andrade
BJ Penn,Ryan Hall,12/29/18,"Los Angeles, California, USA",Blue,Lightweight,SUB,Heel Hook,1,Ryan Hall,BJ Penn
Nathaniel Wood,Andre Ewell,12/29/18,"Los Angeles, California, USA",Red,Bantamweight,SUB,Rear Naked Choke,3,Nathaniel Wood,Andre Ewell
Uriah Hall,Bevon Lewis,12/29/18,"Los Angeles, California, USA",Red,Middleweight,KO/TKO,Punch,3,Uriah Hall,Bevon Lewis
Curtis Millender,Siyar Bahadurzada,12/29/18,"Los Angeles, California, USA",Red,Welterweight,U-DEC,None,3,Curtis Millender,Siyar Bahadurzada
Brian Kelleher,Montel Jackson,12/29/18,"Los Angeles, California, USA",Blue,Bantamweight,SUB,D'Arce Choke,1,Montel Jackson,Brian Kelleher
Kevin Lee,Al Iaquinta,12/15/18,"Milwaukee, Wisconsin, USA",Blue,Lightweight,U-DEC,None,5,Al Iaquinta,Kevin Lee
Edson Barboza,Dan Hooker,12/15/18,"Milwaukee, Wisconsin, USA",Red,Lightweight,KO/TKO,Punches,3,Edson Barboza,Dan Hooker
Rob Font,Sergio Pettis,12/15/18,"Milwaukee, Wisconsin, USA",Red,Bantamweight,U-DEC,None,3,Rob Font,Sergio Pettis
Jim Miller,Charles Oliveira,12/15/18,"Milwaukee, Wisconsin, USA",Blue,Lightweight,SUB,Rear Naked Choke,1,Charles Oliveira,Jim Miller
Zak Ottow,Dwight Grant,12/15/18,"Milwaukee, Wisconsin, USA",Red,Welterweight,S-DEC,None,3,Zak Ottow,Dwight Grant
Bobby Green,Drakkar Klose,12/15/18,"Milwaukee, Wisconsin, USA",Blue,Lightweight,U-DEC,None,3,Drakkar Klose,Bobby Green
Jared Gordon,Joaquim Silva,12/15/18,"Milwaukee, Wisconsin, USA",Blue,Lightweight,KO/TKO,Punches,3,Joaquim Silva,Jared Gordon
Gerald Meerschaert,Jack Hermansson,12/15/18,"Milwaukee, Wisconsin, USA",Blue,Middleweight,SUB,Guillotine Choke,1,Jack Hermansson,Gerald Meerschaert
Trevor Smith,Zak Cummings,12/15/18,"Milwaukee, Wisconsin, USA",Blue,Middleweight,U-DEC,None,3,Zak Cummings,Trevor Smith
Dan Ige,Jordan Griffin,12/15/18,"Milwaukee, Wisconsin, USA",Red,Featherweight,U-DEC,None,3,Dan Ige,Jordan Griffin
Adam Milstead,Mike Rodriguez,12/15/18,"Milwaukee, Wisconsin, USA",Blue,Light Heavyweight,KO/TKO,Knee,1,Mike Rodriguez,Adam Milstead
Chris de la Rocha,Juan Adams,12/15/18,"Milwaukee, Wisconsin, USA",Blue,Heavyweight,KO/TKO,Knee,3,Juan Adams,Chris de la Rocha
Max Holloway,Brian Ortega,12/8/18,"Toronto, Ontario, Canada",Red,Featherweight,KO/TKO,None,4,Max Holloway,Brian Ortega
Valentina Shevchenko,Joanna Jedrzejczyk,12/8/18,"Toronto, Ontario, Canada",Red,Women's Flyweight,U-DEC,None,5,Valentina Shevchenko,Joanna Jedrzejczyk
Alex Oliveira,Gunnar Nelson,12/8/18,"Toronto, Ontario, Canada",Blue,Welterweight,SUB,Rear Naked Choke,2,Gunnar Nelson,Alex Oliveira
Hakeem Dawodu,Kyle Bochniak,12/8/18,"Toronto, Ontario, Canada",Red,Featherweight,S-DEC,None,3,Hakeem Dawodu,Kyle Bochniak
Jimi Manuwa,Thiago Santos,12/8/18,"Toronto, Ontario, Canada",Blue,Light Heavyweight,KO/TKO,Punch,2,Thiago Santos,Jimi Manuwa
Claudia Gadelha,Nina Ansaroff,12/8/18,"Toronto, Ontario, Canada",Blue,Women's Strawweight,U-DEC,None,3,Nina Ansaroff,Claudia Gadelha
Olivier Aubin-Mercier,Gilbert Burns,12/8/18,"Toronto, Ontario, Canada",Blue,Lightweight,U-DEC,None,3,Gilbert Burns,Olivier Aubin-Mercier
Katlyn Chookagian,Jessica Eye,12/8/18,"Toronto, Ontario, Canada",Blue,Women's Flyweight,S-DEC,None,3,Jessica Eye,Katlyn Chookagian
Elias Theodorou,Eryk Anders,12/8/18,"Toronto, Ontario, Canada",Red,Middleweight,S-DEC,None,3,Elias Theodorou,Eryk Anders
Brad Katona,Matthew Lopez,12/8/18,"Toronto, Ontario, Canada",Red,Bantamweight,U-DEC,None,3,Brad Katona,Matthew Lopez
Chad Laprise,Dhiego Lima,12/8/18,"Toronto, Ontario, Canada",Blue,Welterweight,KO/TKO,Punch,1,Dhiego Lima,Chad Laprise
Diego Ferreira,Kyle Nelson,12/8/18,"Toronto, Ontario, Canada",Red,Lightweight,KO/TKO,Punches,2,Diego Ferreira,Kyle Nelson
Devin Clark,Aleksandar Rakic,12/8/18,"Toronto, Ontario, Canada",Blue,Light Heavyweight,KO/TKO,Spinning Back Fist,1,Aleksandar Rakic,Devin Clark
Junior Dos Santos,Tai Tuivasa,12/1/18,"Adelaide, South Australia, Australia",Red,Heavyweight,KO/TKO,Punches,2,Junior Dos Santos,Tai Tuivasa
Mauricio Rua,Tyson Pedro,12/1/18,"Adelaide, South Australia, Australia",Red,Light Heavyweight,KO/TKO,Punches,3,Mauricio Rua,Tyson Pedro
Mark Hunt,Justin Willis,12/1/18,"Adelaide, South Australia, Australia",Blue,Heavyweight,U-DEC,None,3,Justin Willis,Mark Hunt
Jake Matthews,Anthony Rocco Martin,12/1/18,"Adelaide, South Australia, Australia",Blue,Welterweight,SUB,Anaconda Choke,3,Anthony Rocco Martin,Jake Matthews
Suman Mokhtarian,Sodiq Yusuff,12/1/18,"Adelaide, South Australia, Australia",Blue,Featherweight,KO/TKO,Punches,1,Sodiq Yusuff,Suman Mokhtarian
Jimmy Crute,Paul Craig,12/1/18,"Adelaide, South Australia, Australia",Red,Light Heavyweight,SUB,Kimura,3,Jimmy Crute,Paul Craig
Yushin Okami,Aleksei Kunchenko,12/1/18,"Adelaide, South Australia, Australia",Blue,Welterweight,U-DEC,None,3,Aleksei Kunchenko,Yushin Okami
Wilson Reis,Ben Nguyen,12/1/18,"Adelaide, South Australia, Australia",Red,Flyweight,U-DEC,None,3,Wilson Reis,Ben Nguyen
Keita Nakamura,Salim Touahri,12/1/18,"Adelaide, South Australia, Australia",Red,Welterweight,S-DEC,None,3,Keita Nakamura,Salim Touahri
Elias Garcia,Kai Kara-France,12/1/18,"Adelaide, South Australia, Australia",Blue,Flyweight,U-DEC,None,3,Kai Kara-France,Elias Garcia
Mizuto Hirota,Christos Giagos,12/1/18,"Adelaide, South Australia, Australia",Blue,Lightweight,U-DEC,None,3,Christos Giagos,Mizuto Hirota
Alex Gorgees,Damir Ismagulov,12/1/18,"Adelaide, South Australia, Australia",Blue,Lightweight,U-DEC,None,3,Damir Ismagulov,Alex Gorgees
Rafael Dos Anjos,Kamaru Usman,11/30/18,"Las Vegas, Nevada, USA",Blue,Welterweight,U-DEC,None,5,Kamaru Usman,Rafael Dos Anjos
Juan Espino,Justin Frazier,11/30/18,"Las Vegas, Nevada, USA",Red,Heavyweight,SUB,Armbar,1,Juan Espino,Justin Frazier
Pannie Kianzad,Macy Chiasson,11/30/18,"Las Vegas, Nevada, USA",Blue,Women's Featherweight,SUB,Rear Naked Choke,2,Macy Chiasson,Pannie Kianzad
Pedro Munhoz,Bryan Caraway,11/30/18,"Las Vegas, Nevada, USA",Red,Bantamweight,KO/TKO,Kick,1,Pedro Munhoz,Bryan Caraway
Darren Stewart,Edmen Shahbazyan,11/30/18,"Las Vegas, Nevada, USA",Blue,Middleweight,S-DEC,None,3,Edmen Shahbazyan,Darren Stewart
Ji Yeon Kim,Antonina Shevchenko,11/30/18,"Las Vegas, Nevada, USA",Blue,Women's Flyweight,U-DEC,None,3,Antonina Shevchenko,Ji Yeon Kim
Rick Glenn,Kevin Aguilar,11/30/18,"Las Vegas, Nevada, USA",Blue,Featherweight,U-DEC,None,3,Kevin Aguilar,Rick Glenn
Joseph Benavidez,Alex Perez,11/30/18,"Las Vegas, Nevada, USA",Red,Flyweight,KO/TKO,Punches,1,Joseph Benavidez,Alex Perez
Maurice Greene,Michel Batista,11/30/18,"Las Vegas, Nevada, USA",Red,Heavyweight,SUB,Triangle Choke,1,Maurice Greene,Michel Batista
Julija Stoliarenko,Leah Letson,11/30/18,"Las Vegas, Nevada, USA",Blue,Women's Featherweight,S-DEC,None,3,Leah Letson,Julija Stoliarenko
Roosevelt Roberts,Darrell Horcher,11/30/18,"Las Vegas, Nevada, USA",Red,Lightweight,SUB,Guillotine Choke,1,Roosevelt Roberts,Darrell Horcher
Tim Means,Ricky Rainey,11/30/18,"Las Vegas, Nevada, USA",Red,Welterweight,KO/TKO,Punches,1,Tim Means,Ricky Rainey
Raoni Barcelos,Chris Gutierrez,11/30/18,"Las Vegas, Nevada, USA",Red,Bantamweight,SUB,Rear Naked Choke,2,Raoni Barcelos,Chris Gutierrez
Curtis Blaydes,Francis Ngannou,11/24/18,"Beijing, China",Blue,Heavyweight,KO/TKO,Punch,1,Francis Ngannou,Curtis Blaydes
Alistair Overeem,Sergei Pavlovich,11/24/18,"Beijing, China",Red,Heavyweight,KO/TKO,Punches,1,Alistair Overeem,Sergei Pavlovich
Song Yadong,Vince Morales,11/24/18,"Beijing, China",Red,Bantamweight,U-DEC,None,3,Song Yadong,Vince Morales
Li Jingliang,David Zawada,11/24/18,"Beijing, China",Red,Welterweight,,None,,Li Jingliang,David Zawada
Song Kenan,Alex Morono,11/24/18,"Beijing, China",Blue,Welterweight,,None,,Alex Morono,Song Kenan
Wu Yanan,Lauren Mueller,11/24/18,"Beijing, China",Red,Women's Flyweight,,None,,Wu Yanan,Lauren Mueller
Hu Yaozong,Rashad Coulter,11/24/18,"Beijing, China",Blue,Light Heavyweight,U-DEC,None,3,Rashad Coulter,Hu Yaozong
Weili Zhang,Jessica Aguilar,11/24/18,"Beijing, China",Red,Women's Strawweight,SUB,Armbar,1,Weili Zhang,Jessica Aguilar
Liu Pingyuan,Martin Day,11/24/18,"Beijing, China",Red,Bantamweight,S-DEC,None,3,Liu Pingyuan,Martin Day
Yan Xiaonan,Syuri Kondo,11/24/18,"Beijing, China",Red,Women's Strawweight,,None,,Yan Xiaonan,Syuri Kondo
Kevin Holland,John Phillips,11/24/18,"Beijing, China",Red,Middleweight,SUB,Rear Naked Choke,3,Kevin Holland,John Phillips
Su Mudaerji,Louis Smolka,11/24/18,"Beijing, China",Blue,Bantamweight,SUB,Armbar,2,Louis Smolka,Su Mudaerji
Neil Magny,Santiago Ponzinibbio,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Blue,Welterweight,KO/TKO,Punch,4,Santiago Ponzinibbio,Neil Magny
Ricardo Lamas,Darren Elkins,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Red,Featherweight,KO/TKO,Elbows,3,Ricardo Lamas,Darren Elkins
Khalil Rountree Jr.,Johnny Walker,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Blue,Light Heavyweight,KO/TKO,Elbow,1,Johnny Walker,Khalil Rountree Jr.
Cezar Ferreira,Ian Heinisch,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Blue,Middleweight,U-DEC,None,3,Ian Heinisch,Cezar Ferreira
Guido Cannetti,Marlon Vera,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Blue,Bantamweight,SUB,Rear Naked Choke,2,Marlon Vera,Guido Cannetti
Cynthia Calvillo,Poliana Botelho,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Red,Women's Strawweight,SUB,Rear Naked Choke,1,Cynthia Calvillo,Poliana Botelho
Michel Prazeres,Bartosz Fabinski,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Red,Welterweight,SUB,Guillotine Choke,1,Michel Prazeres,Bartosz Fabinski
Alexandre Pantoja,Ulka Sasaki,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Red,Flyweight,,None,,Alexandre Pantoja,Ulka Sasaki
Humberto Bandenay,Austin Arnett,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Blue,Featherweight,U-DEC,None,3,Austin Arnett,Humberto Bandenay
Laureano Staropoli,Hector Aldana,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Red,Welterweight,U-DEC,None,3,Laureano Staropoli,Hector Aldana
Devin Powell,Jesus Pinedo,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Blue,Lightweight,U-DEC,None,3,Jesus Pinedo,Devin Powell
Nad Narimani,Anderson Dos Santos,11/17/18,"Buenos Aires, Buenos Aires, Argentina",Red,Featherweight,U-DEC,None,3,Nad Narimani,Anderson Dos Santos
Chan Sung Jung,Yair Rodriguez,11/10/18,"Denver, Colorado, USA",Blue,Featherweight,KO/TKO,Elbow,5,Yair Rodriguez,Chan Sung Jung
Donald Cerrone,Mike Perry,11/10/18,"Denver, Colorado, USA",Red,Welterweight,SUB,Armbar,1,Donald Cerrone,Mike Perry
Raquel Pennington,Germaine de Randamie,11/10/18,"Denver, Colorado, USA",Blue,Women's Bantamweight,U-DEC,None,3,Germaine de Randamie,Raquel Pennington
